,Weight,Zone,Type of Delivery,Price,Year
559,94,2,FedEx Priority Overnight,233.56,2021
560,94,2,FedEx Std Overnight,224.40,2021
561,94,2,FedEx 2DAy,146.44,2021
562,94,2,FedEx Express Saver,124.68,2021
563,94,2,FedEx 2Day® A.M.,161.08,2021
564,95,2,FedEx First Overnight,271.84,2021
565,95,2,FedEx Priority Overnight,240.84,2021
566,95,2,FedEx Std Overnight,225.26,2021
567,95,2,FedEx 2DAy,147.32,2021
568,95,2,FedEx Express Saver,125.75,2021
569,95,2,FedEx 2Day® A.M.,161.88,2021
570,96,2,FedEx First Overnight,272.64,2021
571,96,2,FedEx Priority Overnight,241.64,2021
572,96,2,FedEx Std Overnight,226.06,2021
573,96,2,FedEx 2DAy,149.79,2021
